ID,name,url,tactics
T1548,Abuse Elevation Control Mechanism,https://attack.mitre.org/techniques/T1548,"Defense Evasion, Privilege Escalation"
T1548.002,Abuse Elevation Control Mechanism: Bypass User Account Control,https://attack.mitre.org/techniques/T1548/002,"Defense Evasion, Privilege Escalation"
T1548.004,Abuse Elevation Control Mechanism: Elevated Execution with Prompt,https://attack.mitre.org/techniques/T1548/004,"Defense Evasion, Privilege Escalation"
T1548.001,Abuse Elevation Control Mechanism: Setuid and Setgid,https://attack.mitre.org/techniques/T1548/001,"Defense Evasion, Privilege Escalation"
T1548.003,Abuse Elevation Control Mechanism: Sudo and Sudo Caching,https://attack.mitre.org/techniques/T1548/003,"Defense Evasion, Privilege Escalation"
T1548.006,Abuse Elevation Control Mechanism: TCC Manipulation,https://attack.mitre.org/techniques/T1548/006,"Defense Evasion, Privilege Escalation"
T1548.005,Abuse Elevation Control Mechanism: Temporary Elevated Cloud Access,https://attack.mitre.org/techniques/T1548/005,"Defense Evasion, Privilege Escalation"
T1134,Access Token Manipulation,https://attack.mitre.org/techniques/T1134,"Defense Evasion, Privilege Escalation"
T1134.002,Access Token Manipulation: Create Process with Token,https://attack.mitre.org/techniques/T1134/002,"Defense Evasion, Privilege Escalation"
T1134.003,Access Token Manipulation: Make and Impersonate Token,https://attack.mitre.org/techniques/T1134/003,"Defense Evasion, Privilege Escalation"
T1134.004,Access Token Manipulation: Parent PID Spoofing,https://attack.mitre.org/techniques/T1134/004,"Defense Evasion, Privilege Escalation"
T1134.005,Access Token Manipulation: SID-History Injection,https://attack.mitre.org/techniques/T1134/005,"Defense Evasion, Privilege Escalation"
T1134.001,Access Token Manipulation: Token Impersonation/Theft,https://attack.mitre.org/techniques/T1134/001,"Defense Evasion, Privilege Escalation"
T1531,Account Access Removal,https://attack.mitre.org/techniques/T1531,Impact
T1087,Account Discovery,https://attack.mitre.org/techniques/T1087,Discovery
T1087.004,Account Discovery: Cloud Account,https://attack.mitre.org/techniques/T1087/004,Discovery
T1087.002,Account Discovery: Domain Account,https://attack.mitre.org/techniques/T1087/002,Discovery
T1087.003,Account Discovery: Email Account,https://attack.mitre.org/techniques/T1087/003,Discovery
T1087.001,Account Discovery: Local Account,https://attack.mitre.org/techniques/T1087/001,Discovery
T1098,Account Manipulation,https://attack.mitre.org/techniques/T1098,"Persistence, Privilege Escalation"
T1098.001,Account Manipulation: Additional Cloud Credentials,https://attack.mitre.org/techniques/T1098/001,"Persistence, Privilege Escalation"
T1098.003,Account Manipulation: Additional Cloud Roles,https://attack.mitre.org/techniques/T1098/003,"Persistence, Privilege Escalation"
